monumentna,,state,lat,long,coordinate,asicircle,district
Remains of the Fort with the Buildings thereon,,Tamil Nadu,11.60248376,78.59877266,"11.60248376,11.6022585",Chennai Circle,Salem
Remains of the Fort with the Buildings thereon,,Tamil Nadu,11.6022585,78.59945905,"11.6022585,11.60224095",Chennai Circle,Salem
Remains of the Fort with the Buildings thereon,,Tamil Nadu,11.60224095,78.60126574,"11.60224095,12.551718",Chennai Circle,Salem
Megalithic cists and cairns,,Tamil Nadu,12.551718,79.91290843,"12.551718,12.94507158",Chennai Circle,Kanchipuram
Megalithic cists and cairns with stone circles,,Tamil Nadu,12.94507158,80.07175994,"12.94507158,12.37522198",Chennai Circle,Kanchipuram
Cairns in the rf at the foot of perambair hills.,,Tamil Nadu,12.37522198,79.78471444,"12.37522198,12.02259942",Chennai Circle,Kanchipuram
Urn burial site,,Tamil Nadu,12.02259942,79.65583229,"12.02259942,12.72331331",Chennai Circle,Villupuram
Megalithic cists and cairns,,Tamil Nadu,12.72331331,79.97605698,"12.72331331,12.6915918",Chennai Circle,Kanchipuram
Urn burials,,Tamil Nadu,12.6915918,80.15930949,"12.6915918,12.6685717",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.6685717,79.97467918,"12.6685717,12.73026471",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.73026471,79.99037571,"12.73026471,12.80265571",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.80265571,79.91797197,"12.80265571,13.00574362",Chennai Circle,Kanchipuram
Urn burial and megalithic site,,Tamil Nadu,13.00574362,80.19325102,"13.00574362,12.95464455",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.95464455,79.90745878,"12.95464455,12.80445564",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.80445564,80.23125444,"12.80445564,12.8619519",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.8619519,80.19040709,"12.8619519,13.16466118",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,13.16466118,80.15228638,"13.16466118,12.97312057",Chennai Circle,Tiruvallur
Megalithic cists and cairns,,Tamil Nadu,12.97312057,80.17121494,"12.97312057,12.50657914",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.50657914,79.83798989,"12.50657914,12.72673527",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.72673527,80.18701087,"12.72673527,12.83375361",Chennai Circle,Kanchipuram
Megalithic cist,,Tamil Nadu,12.83375361,80.05409125,"12.83375361,12.85409579",Chennai Circle,Kanchipuram
Megalithic cists and cairns with stone circles,,Tamil Nadu,12.85409579,80.18985598,"12.85409579,12.66254534",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.66254534,79.97782847,"12.66254534,12.71312154",Chennai Circle,Kanchipuram
Megalithic cists and cairns bounded with stone circles,,Tamil Nadu,12.71312154,79.97785675,"12.71312154,12.72213387",Chennai Circle,Kanchipuram
Megalithic cists circumscribed by stone circles,,Tamil Nadu,12.72213387,79.98223042,"12.72213387,12.72366938",Chennai Circle,Kanchipuram
Megalithic cists circumscribed by stone circles,,Tamil Nadu,12.72366938,79.98074755,"12.72366938,12.74498514",Chennai Circle,Kanchipuram
Megalithic cists and cairns intact with stone circles.,,Tamil Nadu,12.74498514,79.97174952,"12.74498514,12.66730819",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.66730819,80.14114367,"12.66730819,12.8849759",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.8849759,80.19033806,"12.8849759,12.76800589",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.76800589,80.10781039,"12.76800589,12.78601787",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.78601787,79.91461872,"12.78601787,12.37827803",Chennai Circle,Kanchipuram
Cairns in the rf at the foot of perambair hills.,,Tamil Nadu,12.37827803,79.78731821,"12.37827803,12.38574408",Chennai Circle,Kanchipuram
Chromlechs,,Tamil Nadu,12.38574408,79.78909337,"12.38574408,12.66271447",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.66271447,79.97601523,"12.66271447,13.01402143",Chennai Circle,Kanchipuram
Megalithic cairns with stone circles and sarvophagi,,Tamil Nadu,13.01402143,80.10233798,"13.01402143,12.94314706",Chennai Circle,Kanchipuram
Group of cairns,,Tamil Nadu,12.94314706,80.12515467,"12.94314706,12.73084788",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.73084788,80.18769405,"12.73084788,31.07583395",Chennai Circle,Kanchipuram
Seven Kos Minars on old Badshahi highway form Delhi to Lahore,,Punjab,31.07583395,75.64970252,"31.07583395,31.14967549",Chandigarh Circle,Jalandhar
Seven Kos Minars on old Badshahi highway form Delhi to Lahore,,Punjab,31.14967549,75.4439258,"31.14967549,31.09914006",Chandigarh Circle,Jalandhar
Seven Kos Minars on old Badshahi highway form Delhi to Lahore,,Punjab,31.09914006,75.56421336,"31.09914006,31.171666",Chandigarh Circle,Jalandhar
Mughal Bridge,,Punjab,31.171666,75.416333,"31.171666,31.17239268",Chandigarh Circle,Jalandhar
Sarai Including Gateway,,Punjab,31.17239268,75.41153569,"31.17239268,31.18451447",Chandigarh Circle,Jalandhar
"Mughal Kos Minar, Three Miles of north-west of Dakhni Sarai",,Punjab,31.18451447,75.36200174,"31.18451447,31.040166",Chandigarh Circle,Jalandhar
Theh Gatti (Mound),,Punjab,31.040166,75.835166,"31.040166,31.12738015",Chandigarh Circle,Jalandhar
"The tomb, viz. the first octagonal and known as the tomb of Mohammad Momin, the âUstadâ, now empty, and the other square and known as the tomb of Haji Jamal, his pupil; the latter, contains 5 grav",,Punjab,31.12738015,75.47453331,"31.12738015,31.092833",Chandigarh Circle,Jalandhar
Sarai including gateway,,Punjab,31.092833,75.594333,"31.092833,31.031333",Chandigarh Circle,Jalandhar
Ancient Mound,,Punjab,31.031333,75.849333,"31.031333,31.01122592",Chandigarh Circle,Jalandhar
Maharaja Ranjit Singh Fort at Phillar,,Punjab,31.01122592,75.78941221,"31.01122592,30.73281787",Chandigarh Circle,Jalandhar
Kos Minar near the village of Rajputan,,Punjab,30.73281787,76.1195499,"30.73281787,30.75765116",Chandigarh Circle,Ludhiana
Kos Minar near the Sarai of Lashkari Khan,,Punjab,30.75765116,76.08539962,"30.75765116,30.90565704",Chandigarh Circle,Ludhiana
Kos Minar about one mile east of Ludhiana,,Punjab,30.90565704,75.88124765,"30.90565704,30.883666",Chandigarh Circle,Ludhiana
Ancient Site of Sunet,,Punjab,30.883666,75.806,"30.883666,30.83580666",Chandigarh Circle,Ludhiana
Kos Minar near the village of Sunnahwal,,Punjab,30.83580666,75.98596706,"30.83580666,30.9715",Chandigarh Circle,Ludhiana
Mound near collage compound,,Punjab,30.9715,76.523666,"30.9715,31.63634993",Chandigarh Circle,Ropar
Ram bagh gate,,Punjab,31.63634993,74.87878517,"31.63634993,12.78783446",Chandigarh Circle,Amritsar
Megalithic cists and cairns,,Tamil Nadu,12.78783446,79.91696975,"12.78783446,12.77090929",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.77090929,79.96003698,"12.77090929,12.67096481",Chennai Circle,Kanchipuram
Megalithic cists and cairns,,Tamil Nadu,12.67096481,80.12707044,"12.67096481,12.88820277",Chennai Circle,Kanchipuram
Megalithic cists and cairns with stone circles,,Tamil Nadu,12.88820277,79.89330721,"12.88820277,12.88814783",Chennai Circle,Kanchipuram
Megalithic cists and cairns with stone circles,,Tamil Nadu,12.88814783,79.89399321,"12.88814783,12.88753319",Chennai Circle,Kanchipuram
Megalithic cists and cairns with stone circles,,Tamil Nadu,12.88753319,79.89525742,"12.88753319,8.632351753",Chennai Circle,Kanchipuram
Prehistoric site,,Tamil Nadu,8.632351753,77.87742164,"8.632351753,8.629151693",Chennai Circle,Turicorin
Prehistoric site,,Tamil Nadu,8.629151693,77.87467813,"8.629151693,10.4567274",Chennai Circle,Turicorin
Kailasanatha Temple,,Tamil Nadu,10.4567274,78.79299782,"10.4567274,10.33598098",Chennai Circle,Pudukkottai
Natural cavern called Andarmatam,,Tamil Nadu,10.33598098,78.58844587,"10.33598098,10.41591734",Chennai Circle,Pudukkottai
Cavern on the western side of the Kudumiamalai temple hill,,Tamil Nadu,10.41591734,78.6575598,"10.41591734,10.41621715",Chennai Circle,Pudukkottai
Musical Inscriptions,,Tamil Nadu,10.41621715,78.65848065,"10.41621715,10.41645272",Chennai Circle,Pudukkottai
Rock-cut shrine called Melakkovil with mantapam in front,,Tamil Nadu,10.41645272,78.65862342,"10.41645272,10.41640989",Chennai Circle,Pudukkottai
Sikhanathaswami temple,,Tamil Nadu,10.41640989,78.65929443,"10.41640989,10.56145584",Chennai Circle,Pudukkottai
Jain tirthankara image and inscribed stone slab,,Tamil Nadu,10.56145584,78.991286,"10.56145584,10.07422543",Chennai Circle,Pudukkottai
Cave in Sittharmalai,,Tamil Nadu,10.07422543,77.84521295,"10.07422543,10.94821824",Chennai Circle,Madurai
Mandapakkadu (Structure with mound),,Tamil Nadu,10.94821824,77.05127677,"10.94821824,28.59304752",Chennai Circle,Coimbatore
Mosque with its dalans and courtyard and the Bara Gumbaz Mosque,,Delhi,28.59304752,77.22036377,"28.59304752,28.59629739",Delhi Mini Circle,New Delhi
"Tomb of Sikander Lodi with its enclosure wall and bastions, gates & compound",,Delhi,28.59629739,77.22154603,"28.59629739,28.64837094",Delhi Mini Circle,New Delhi
"Mazar of Shaikh Nabi Karim Muhammad Ibrahim Zauq, Nabi Karim, Paharganj",,Delhi,28.64837094,77.2141058,"28.64837094,28.64091185",Delhi Mini Circle,Central
"Portion of the City Wall of Shahajanabad, near Delhi Gate",,Delhi,28.64091185,77.24375848,"28.64091185,28.63576468",Delhi Mini Circle,Central
Ashoka'a pillar on Bridge at Firozabad,,Delhi,28.63576468,77.24538874,"28.63576468,28.66233976",Delhi Mini Circle,Central
Mutiny telegraph Memorial,,Delhi,28.66233976,77.23422005,"28.66233976,28.64496963",Delhi Mini Circle,North
Tomb of Razya Begum in Mohalla Bulbuli Khana,,Delhi,28.64496963,77.23177727,"28.64496963,28.67643453",Delhi Mini Circle,Central
"The Pirghaib. To the north of and near Hindu Rao's House on the ridge, Delhi",,Delhi,28.67643453,77.21327361,"28.67643453,28.68791186",Delhi Mini Circle,North
Flag  Staff Tower,,Delhi,28.68791186,77.21816389,"28.68791186,28.66494998",Delhi Mini Circle,North
D’Eremao Cemetery,,Delhi,28.66494998,77.19683511,"28.66494998,28.63589738",Delhi Mini Circle,North
"Lal Darwaza, the northern gate of the outer walls of the Delhi of Shershah.",,Delhi,28.63589738,77.24100161,"28.63589738,28.6613543",Delhi Mini Circle,Central
Lothian Road Cemetery,,Delhi,28.6613543,77.23631326,"28.6613543,28.68156832",Delhi Mini Circle,North
"Chauburji, situated between mosque, the Flag Staff  and Hindu Rao’s House on Ridge, Delhi",,Delhi,28.68156832,77.21524205,"28.68156832,28.71930581",Delhi Mini Circle,North
Gateways of Badli-Ki-Sarai,,Delhi,28.71930581,77.16723336,"28.71930581,28.71866085",Delhi Mini Circle,North West
Gateways of Badli-Ki-Sarai,,Delhi,28.71866085,77.16783381,"28.71866085,28.67029288",Delhi Mini Circle,North West
Site of Siege battery Known as the Sammy House Battery.,,Delhi,28.67029288,77.21357105,"28.67029288,28.60750942",Delhi Mini Circle,North
Khair-ul-Manazil,,Delhi,28.60750942,77.23959298,"28.60750942,28.58084538",Delhi Mini Circle,New Delhi
Marble Tomb reputed to be that of Nawab Bahadur Jawid Khan in Village of Aliganj,,Delhi,28.58084538,77.21618516,"28.58084538,28.67602006",Delhi Mini Circle,South
Old Baoli immediately to the west of Hindu Rao's House.,,Delhi,28.67602006,77.21225958,"28.67602006,26.35388889",Delhi Mini Circle,North
FORT,,Rajasthan,26.35388889,73.03194444,"26.35388889,31.637666",Jodhpur Circle,JODHPUR
Summer Palace of Maharaja Ranjit Singh,,Punjab,31.637666,74.877166,"31.637666,31.510666",Chandigarh Circle,Amritsar
Gateway of the old Sarai Akbar or Jahangir,,Punjab,31.510666,74.692823,"31.510666,31.38",Chandigarh Circle,Taran Taran
Gateway of the old Sarai Akbar or Jahangir,,Punjab,31.38,75.100333,"31.38,30.208",Chandigarh Circle,Taran Taran
Bhatinda Fort,,Punjab,30.208,74.937166,"30.208,30.78943788",Chandigarh Circle,Bhatinda
Ancient site and Buddhist Stupa,,Punjab,30.78943788,76.39183429,"30.78943788,30.793116",Chandigarh Circle,Fatehgarh Sahib
Ancient Buddhist Stupa (SGL-11),,Punjab,30.793116,76.395266,"30.793116,30.155",Chandigarh Circle,Fatehgarh Sahib
The mound about 60 feet high known as Mud fort situated in field No.1787/1/1,,Punjab,30.155,74.202833,"30.155,31.814166",Chandigarh Circle,Fazilka
"Baradari, generally known as Anarkali",,Punjab,31.814166,75.2125,"31.814166,31.812",Chandigarh Circle,Gurdaspur
Shamsher Khan's Tomb,,Punjab,31.812,75.213166,"31.812,32.01800039",Chandigarh Circle,Gurdaspur
Takht-i-Akbari,,Punjab,32.01800039,75.16455282,"32.01800039,31.11396193",Chandigarh Circle,Gurdaspur
Seven Kos Minars on old Badshahi highway form Delhi to Lahore,,Punjab,31.11396193,75.52093591,"31.11396193,31.08811334",Chandigarh Circle,Jalandhar
Seven Kos Minars on old Badshahi highway form Delhi to Lahore,,Punjab,31.08811334,75.60706393,"31.08811334,31.17368742",Chandigarh Circle,Jalandhar
Seven Kos Minars on old Badshahi highway form Delhi to Lahore,,Punjab,31.17368742,75.40646882,"31.17368742,31.12752951",Chandigarh Circle,Jalandhar
Seven Kos Minars on old Badshahi highway form Delhi to Lahore,,Punjab,31.12752951,75.47905044,"31.12752951,28.69177518",Chandigarh Circle,Jalandhar
Rajpur (Mutiny cemetery),,Delhi,28.69177518,77.20640945,"28.69177518,28.60240785",Delhi Mini Circle,North
Kos Minar,,Delhi,28.60240785,77.24549848,"28.60240785,28.67054559",Delhi Mini Circle,New Delhi
The Mosque,,Delhi,28.67054559,77.23068407,"28.67054559,28.7204676",Delhi Mini Circle,North
Sheesh Mahal,,Delhi,28.7204676,77.15435291,"28.7204676,28.68716307",Delhi Mini Circle,North West
Tripolia Gateways,,Delhi,28.68716307,77.19423214,"28.68716307,28.68536476",Delhi Mini Circle,North
Tripolia Gateways,,Delhi,28.68536476,77.19585671,"28.68536476,28.67361195",Delhi Mini Circle,North
Tomb of Roshanara & Baradari,,Delhi,28.67361195,77.20026695,"28.67361195,28.67360771",Delhi Mini Circle,North
The Punjabi gate in the Roshanara bagh,,Delhi,28.67360771,77.20166634,"28.67360771,28.66209477",Delhi Mini Circle,North
The remaining gateways of old magazine with their adjoining building - A,,Delhi,28.66209477,77.23455073,"28.66209477,28.66140923",Delhi Mini Circle,North
The remaining gateways of old magazine with their adjoinimg building - B,,Delhi,28.66140923,77.23556193,"28.66140923,28.62586165",Delhi Mini Circle,North
Uggar Sain's Baoli,,Delhi,28.62586165,77.22501524,"28.62586165,28.60821227",Delhi Mini Circle,New Delhi
Shershah gate,,Delhi,28.60821227,77.23955064,"28.60821227,28.61076703",Delhi Mini Circle,New Delhi
Purana Quila,,Delhi,28.61076703,77.242621,"28.61076703,28.59094609",Delhi Mini Circle,New Delhi
The tomb of Mohammed Shah known as Mubarak Khan- Ka-Gumbaz,,Delhi,28.59094609,77.21829204,"28.59094609,28.59119634",Delhi Mini Circle,New Delhi
Remainig Gateways of Arab Sarai and of Abadi-Bagh-Buhalima,,Delhi,28.59119634,77.24604445,"28.59119634,25.42601046",Delhi Circle,South East
Ruined Forts of Samudra Gupta &Hansa Gupta,,Uttar Pradesh,25.42601046,81.90013361,"25.42601046,25.3067696",Sarnath Circle,Allahabad
Cave known as Sita-ki-Rasoi,,Uttar Pradesh,25.3067696,81.79933976,"25.3067696,25.55876113",Sarnath Circle,Allahabad
Lord Cornwallis tomb,,Uttar Pradesh,25.55876113,83.54572509,"25.55876113,25.53643422",Sarnath Circle,Ghazipur
Extensive mound called HatgauhaDih,,Uttar Pradesh,25.53643422,81.80631477,"25.53643422,25.22582001",Sarnath Circle,Allahabad
Garhwa Fort,,Uttar Pradesh,25.22582001,81.5858661,"25.22582001,25.59341672",Sarnath Circle,Allahabad
Large mound called Surya Bhita,,Uttar Pradesh,25.59341672,81.64278107,"25.59341672,26.42178048",Sarnath Circle,Allahabad
Old Nawabi Mosque.,,Uttar Pradesh,26.42178048,82.53752715,"26.42178048,26.05737222",Sarnath Circle,Ambedkar Nagar
Monuments of Captains Wilsons and Jones,,Uttar Pradesh,26.05737222,83.18478611,"26.05737222,26.07772635",Sarnath Circle,Azamgarh
Old British Cemetery,,Uttar Pradesh,26.07772635,83.1899009,"26.07772635,25.95788997",Sarnath Circle,Azamgarh
Ancient site called Garhwa-ka-Kot or Rajbhar-ka-Kot,,Uttar Pradesh,25.95788997,83.34955167,"25.95788997,25.9589",Sarnath Circle,Azamgarh
Ancient site,,Uttar Pradesh,25.9589,83.34484722,"25.9589,25.88300015",Sarnath Circle,Azamgarh
Tomb of Abhiman,,Uttar Pradesh,25.88300015,83.11666817,"25.88300015,25.7602598",Sarnath Circle,Azamgarh
Inscribed stone pillar,,Uttar Pradesh,25.7602598,83.14460387,"25.7602598,25.80245",Sarnath Circle,Azamgarh
A banyan grove containing traces of ancient building,,Uttar Pradesh,25.80245,83.807125,"25.80245,25.4537486",Sarnath Circle,Ballia
Ancient site consisting of ruined fort,,Uttar Pradesh,25.4537486,83.25355881,"25.4537486,25.4530023",Sarnath Circle,Chandauli
Long mound,,Uttar Pradesh,25.4530023,83.25396091,"25.4530023,25.45211998",Sarnath Circle,Chandauli
Small conical mound of ruins called Devi-ka-Sthan,,Uttar Pradesh,25.45211998,83.25259929,"25.45211998,25.45030922",Sarnath Circle,Chandauli
Large mound of brick ruins,,Uttar Pradesh,25.45030922,83.3490045,"25.45030922,25.39374894",Sarnath Circle,Chandauli
Old ruined Kot,,Uttar Pradesh,25.39374894,83.34716114,"25.39374894,25.04293333",Sarnath Circle,Chandauli
Mound representing the ancient Sukalpura,,Uttar Pradesh,25.04293333,83.19001667,"25.04293333,26.16741017",Sarnath Circle,Chandauli
Inscribed monolith,,Uttar Pradesh,26.16741017,83.86986317,"26.16741017,26.26932948",Sarnath Circle,Deoria
An Inscribed stone pillar,,Uttar Pradesh,26.26932948,83.85460176,"26.26932948,26.26879134",Sarnath Circle,Deoria
Two ruined temples,,Uttar Pradesh,26.26879134,83.85651019,"26.26879134,26.39606547",Sarnath Circle,Deoria
Long low mound of ruins,,Uttar Pradesh,26.39606547,83.85551345,"26.39606547,26.38746944",Sarnath Circle,Deoria
Ancient site,,Uttar Pradesh,26.38746944,83.86127778,"26.38746944,26.46184246",Sarnath Circle,Deoria
Ancient site,,Uttar Pradesh,26.46184246,83.60863162,"26.46184246,26.45970833",Sarnath Circle,Deoria
High square shaped mound,,Uttar Pradesh,26.45970833,83.608,"26.45970833,26.26065257",Sarnath Circle,Deoria
Extensive mound,,Uttar Pradesh,26.26065257,83.90705148,"26.26065257,26.62860556",Sarnath Circle,Deoria
Mound apparently the remains of Buddhist stupa,,Uttar Pradesh,26.62860556,83.89126944,"26.62860556,26.79354459",Sarnath Circle,Deoria
Mounds known as Mani-Parbat,,Uttar Pradesh,26.79354459,82.19995116,"26.79354459,26.79358971",Sarnath Circle,Faizabad
Mounds known as Kuber-Parbat &Sugrib Parbat.,,Uttar Pradesh,26.79358971,82.19986794,"26.79358971,26.79163211",Sarnath Circle,Faizabad
Bebikhanamâs Tomb.,,Uttar Pradesh,26.79163211,82.14430768,"26.79163211,26.78041431",Sarnath Circle,Faizabad
Gulab Bari.,,Uttar Pradesh,26.78041431,82.15706159,"26.78041431,26.7799669",Sarnath Circle,Faizabad
Tomb of Shuja-ud-Daula.,,Uttar Pradesh,26.7799669,82.1574735,"26.7799669,26.766125",Sarnath Circle,Faizabad
Tomb of Bahu-Begum.,,Uttar Pradesh,26.766125,82.144475,"26.766125,26.77884532",Sarnath Circle,Faizabad
Tomb of Haji Iqbal,,Uttar Pradesh,26.77884532,82.17569205,"26.77884532,25.55260168",Sarnath Circle,Faizabad
Enormous Mound known as Masaon-Dih,,Uttar Pradesh,25.55260168,83.20529097,"25.55260168,25.61465039",Sarnath Circle,Ghazipur
Bridge of the Gangi river,,Uttar Pradesh,25.61465039,83.20130501,"25.61465039,25.56422406",Sarnath Circle,Ghazipur
Bhitari Gupta pillar,,Uttar Pradesh,25.56422406,83.28957296,"25.56422406,25.57103194",Sarnath Circle,Ghazipur
Entire ruined fort enclosure,,Uttar Pradesh,25.57103194,83.28530871,"25.57103194,25.57235359",Sarnath Circle,Ghazipur
Remains of the Gupta period,,Uttar Pradesh,25.57235359,83.28917041,"25.57235359,25.43084444",Sarnath Circle,Ghazipur
Mound of ruins with remains of temples,,Uttar Pradesh,25.43084444,83.66991667,"25.43084444,25.52828333",Sarnath Circle,Ghazipur
Mound of ruins called Suiri-ka-Raj,,Uttar Pradesh,25.52828333,83.489875,"25.52828333,25.39606389",Sarnath Circle,Ghazipur
Stone Lat or Pillar standing on the western end,,Uttar Pradesh,25.39606389,83.57724722,"25.39606389,25.55481667",Sarnath Circle,Ghazipur
